ID,Reel,Name,File Name,Track,Timecode In,Timecode Out,Duration,Source Start,Source End,Audio Channels,Comment
"48","UNNAMED","599_4662.MXF.SYNC.01","","V1","00:01:25:05","00:01:27:08","00:00:02:03","16:34:13:10","16:34:15:13","","IMAGE, FRAMEFLEX"
"49","UNNAMED","20140921_TL_GRATISGELD_CLEAN.MXF","20140921_TL_GRATISGELD_CLEAN.MXF","V1","00:01:27:08","00:01:29:20","00:00:02:12","00:02:21:09","00:02:23:21","",""
"50","UNNAMED","20140921_TL_GRATISGELD_CLEAN.MXF","20140921_TL_GRATISGELD_CLEAN.MXF","V1","00:01:29:20","00:01:31:08","00:00:01:13","00:02:39:05","00:02:40:18","",""
"51","UNNAMED","20140921_TL_GRATISGELD_CLEAN.MXF","20140921_TL_GRATISGELD_CLEAN.MXF","V1","00:01:31:08","00:01:35:09","00:00:04:01","00:02:33:12","00:02:37:13","",""
"52","UNNAMED","599_4662.MXF.SYNC.01","","V1","00:01:35:09","00:01:39:20","00:00:04:11","16:48:01:12","16:48:05:23","","IMAGE, FRAMEFLEX"
"53","UNNAMED","TL_REINIER_DE BELASTINGDIENST DEEL 1 DE HEFFERS_VPRO-LOWRES.MP4","TL_REINIER_DE BELASTINGDIENST DEEL 1 DE HEFFERS_VPRO-LOWRES.MP4","V1","00:01:39:20","00:01:50:02","00:00:10:07","00:06:49:10","00:06:59:17","",""
"54","UNNAMED","599_4662.MXF.SYNC.01","","V1","00:01:50:02","00:02:00:03","00:00:10:01","16:45:45:09","16:45:55:10","","IMAGE, FRAMEFLEX"
"55","UNNAMED","TL_REINIER_RIJKEN_JACHTEN_KENMERK.MP4","TL_REINIER_RIJKEN_JACHTEN_KENMERK.MP4","V1","00:02:00:03","00:02:02:23","00:00:02:20","00:05:34:04","00:05:36:24","",""
"56","UNNAMED","TL_REINIER_RIJKEN_JACHTEN_KENMERK.MP4","TL_REINIER_RIJKEN_JACHTEN_KENMERK.MP4","V1","00:02:02:23","00:02:06:14","00:00:03:16","00:02:44:08","00:02:47:24","",""
"57","UNNAMED","TL_REINIER_RIJKEN_JACHTEN_KENMERK.MP4","TL_REINIER_RIJKEN_JACHTEN_KENMERK.MP4","V1","00:02:06:14","00:02:18:07","00:00:11:18","00:02:56:08","00:03:08:01","",""
"58","UNNAMED","TL_REINIER_RIJKEN_JACHTEN_KENMERK.MP4","TL_REINIER_RIJKEN_JACHTEN_KENMERK.MP4","V1","00:02:18:07","00:02:20:07","00:00:02:00","00:03:45:14","00:03:47:14","",""
"59","UNNAMED","TL_REINIER_RIJKEN_JACHTEN_KENMERK.MP4","TL_REINIER_RIJKEN_JACHTEN_KENMERK.MP4","V1","00:02:20:07","00:02:22:06","00:00:01:24","00:00:12:23","00:00:14:22","",""
